RUN	botiqueClass.Boutiquee	boutiquee	1682420487814	test	3.9.0
USER	Online Boutique Home Page	START	1682420488561
REQUEST		To_Home	1682420488562	1682420488562	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488562	1682420488562	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488562	1682420488562	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488562	1682420488562	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488562
USER	Online Boutique Home Page	START	1682420488562
USER	Online Boutique Home Page	START	1682420488562
USER	Online Boutique Home Page	START	1682420488562
REQUEST		To_Home	1682420488563	1682420488563	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488563	1682420488563	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488563	1682420488563	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488563	1682420488563	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488563
USER	Online Boutique Home Page	START	1682420488563
USER	Online Boutique Home Page	START	1682420488563
USER	Online Boutique Home Page	START	1682420488563
REQUEST		To_Home	1682420488564	1682420488564	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488564	1682420488564	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488564	1682420488564	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488564	1682420488564	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488564
USER	Online Boutique Home Page	START	1682420488564
USER	Online Boutique Home Page	START	1682420488564
USER	Online Boutique Home Page	START	1682420488564
REQUEST		To_Home	1682420488565	1682420488565	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488565	1682420488565	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488565	1682420488565	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488565
USER	Online Boutique Home Page	START	1682420488565
USER	Online Boutique Home Page	START	1682420488565
USER	Online Boutique Home Page	START	1682420488565
USER	Online Boutique Home Page	END	1682420488565
USER	Online Boutique Home Page	END	1682420488565
USER	Online Boutique Home Page	END	1682420488565
USER	Online Boutique Home Page	END	1682420488565
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
REQUEST		To_Home	1682420488566	1682420488566	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488566	1682420488566	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488566
REQUEST		To_Home	1682420488566	1682420488566	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	START	1682420488566
USER	Online Boutique Home Page	START	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	START	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
USER	Online Boutique Home Page	END	1682420488566
REQUEST		To_Home	1682420488566	1682420488567	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488566	1682420488567	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
REQUEST		To_Home	1682420488567	1682420488567	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	START	1682420488567
USER	Online Boutique Home Page	START	1682420488567
USER	Online Boutique Home Page	START	1682420488567
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
USER	Online Boutique Home Page	END	1682420488567
REQUEST		To_Home	1682420488567	1682420488567	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488567	1682420488567	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488567
REQUEST		To_Home	1682420488567	1682420488567	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	START	1682420488568
USER	Online Boutique Home Page	START	1682420488568
USER	Online Boutique Home Page	START	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
REQUEST		To_Home	1682420488568	1682420488568	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488568	1682420488568	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488568	1682420488568	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	END	1682420488568
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
REQUEST		To_Home	1682420488569	1682420488569	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488569	1682420488569	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	END	1682420488569
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	START	1682420488569
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488570
REQUEST		To_Home	1682420488570	1682420488570	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488570
REQUEST		To_Home	1682420488570	1682420488570	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488570	1682420488570	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	START	1682420488570
USER	Online Boutique Home Page	START	1682420488570
USER	Online Boutique Home Page	START	1682420488570
USER	Online Boutique Home Page	END	1682420488570
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	END	1682420488571
REQUEST		To_Home	1682420488571	1682420488571	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488571	1682420488571	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488571
REQUEST		To_Home	1682420488571	1682420488571	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	START	1682420488571
USER	Online Boutique Home Page	START	1682420488571
USER	Online Boutique Home Page	START	1682420488571
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	END	1682420488571
USER	Online Boutique Home Page	START	1682420488572
REQUEST		To_Home	1682420488572	1682420488572	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488572	1682420488572	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488572	1682420488572	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488572
USER	Online Boutique Home Page	START	1682420488572
USER	Online Boutique Home Page	START	1682420488572
REQUEST		To_Home	1682420488572	1682420488572	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488569	1682420488569	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488572
USER	Online Boutique Home Page	START	1682420488572
REQUEST		To_Home	1682420488573	1682420488573	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488573	1682420488573	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488573	1682420488573	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488573	1682420488573	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488573
USER	Online Boutique Home Page	START	1682420488573
USER	Online Boutique Home Page	START	1682420488573
USER	Online Boutique Home Page	START	1682420488573
REQUEST		To_Home	1682420488574	1682420488574	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488574	1682420488574	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488574	1682420488574	KO	j.n.UnknownHostException: onlineboutique.dev
